Проект,Цена,Заявки,Категории
Нужно создать аккаунт google cloud,$25,174,Тестирование сайтов
Доработка нового сайта,,22,Дизайн сайтов
Дизайн лого + brandbook,,41,"Логотипы и Знаки, Фирменный стиль"
Хороший php (Wordpress) программист на постоянную работу,$1000,13,Веб-программирование
Требуется корректировка и проверка текстов,,55,Редактирование и Корректура
Нужен специалист со знаниями в MS SQL,$100,11,Базы данных
Ведущий разработчик php/YII2,,7,Веб-программирование
"Парсинг почтовых аккаунтов Python, Django. Модульный скрипт",$1500,5,Веб-программирование
Баннер для мониторинга обменников,$15,12,Баннеры
Разработчик Electron JS / React JS / Node JS,$5000,10,Прикладное ПО
Нужна работа с API Инстаграма или покупка вашего приложения с этим API,,5,Веб-программирование
Организовать поиск партнеров для туркомпании,,15,Управление проектами
NodeJS разработчик в компанию США,$1300,3,Веб-программирование
Программы по автоматизации процесса,,14,Прикладное ПО
Концепт браузероной игры,$25,11,Разработка игр
Парсер статусов посылок с официальных службы доставки.,,19,Веб-программирование
Протектор APK файлов для Wndows,$1000,9,Прикладное ПО
Разработать свое или доработать текущее мобильное приложение,,30,Мобильные приложения
Логотип для тревел-медиа,$100,66,Логотипы и Знаки
Ищу контент менеджер на канадский сайт по продаже машин,,39,Наполнение сайтов
Чертежи для парикмахерской,,нет,
"Создать дизайн баннера, флаера и борда для ЖК",,1,Дизайн продукции
Сверстать макет новостного сайта,,2,HTML-верстка
Нужен консультант по тильде,,нет,
Требуется сверстать на Angular 10 страниц c разбивкой на компоненты,,нет,
Интернет магазин на фреймворке c подключение 1С,,1,Интернет-магазины
Создать коллаж,,1,Иллюстрации и Рисунки
Мобильные приложения на Unity под Android c WedView,,нет,
Ищу фринлансера для анализа текстов,,1,Поисковые системы (SEO)
Создание логотипа (фирменного знака),,9,Логотипы и Знаки
Поправить верстку на WordPress.,,5,HTML-верстка
Протестировать онлайн сервис и выявить ошибки,,1,Тестирование сайтов
Сверстать сайт,,3,HTML-верстка
"Написать SEO-тексты, тематика: измерительные трансформаторы",,1,Копирайтинг
Доработать сайт на divi согласно тз,,нет,
Ускорение сайта,,2,Веб-программирование
Необходимо добавить анимацию выделения этажа в связке с 2-я блоками,,нет,
Ежедневный парсинг остатков товара у конкурента,$250,7,Веб-программирование
Изменить приложение (Android),,1,Мобильные приложения
Дизайн корпоративного сайта,,18,Дизайн сайтов
"Создать клиента-""профессионал"" в ЛК (1с-Битрикс)",,1,Веб-программирование
Переделать дизайн существующего сайта на платформе wix,,3,Дизайн сайтов
Поправить баги на Wordpress и Woocommerce,,2,Веб-программирование
Авторская статья в автоблог,,3,Продающие тексты
Настроить срм Envibox,,нет,
Задание по cms wordpress,,21,Системы управления (CMS)
Подготовить Excel в требуемый формат,$20,18,Наполнение сайтов
Нужен специалист с опытом публикации приложений в Google Play,,нет,
Необходимо сделать рерайт статьи,,4,Рерайтинг
Дизайн главной страницы сайта Фоторедактора,$350,21,Дизайн сайтов
Смена TIMEZONE на сайте,$20,нет,
Нужно сделать бланк в Ворде фото прилагатся,,9,Шрифты
Написать SEO-оптимизированные тектсы,,6,Копирайтинг
Сформировать 6 XML документов,,5,Веб-программирование
Заполнить таблицу смежных врачебных специализаций,,1,Редактирование и Корректура
100 Description для страниц сайта,$5,1,Копирайтинг
Создать макет страницы сайта,$10,9,Дизайн сайтов
Парсер,,7,Веб-программирование
"SEO, Google Ads",,12,Поисковые системы (SEO)
Требуется windows-разработчик,,1,Прикладное ПО
"Требуется парень с базовым инглишем и двумя ПК, ноутами или нетбуками",,30,Служба поддержки
СРОЧНО ТРЕБУЮТСЯ КОПИРАТЕРЫ!!!,,5,Копирайтинг
Нужны тексты для магазинов и сайтов,,10,Копирайтинг
Парсим домены отправляем рекламное предложение с формы обратной связи.,,4,Веб-программирование
Сверстать простые внутренние - Мебель,$33,7,HTML-верстка
Обновление дизайна сайта на OpenCart по макету (уже свёрстан),$190,3,Веб-программирование
Контент-менеджер на сайт про инвестиции для оформления 500 статей,$385,23,Наполнение сайтов
"Доработать проект на Symfony, Разработать сайт на Symfony",,2,Веб-программирование
Нарисовать картинку (пост для инсты),,8,Иллюстрации и Рисунки
Скрипт для переноса информации с одного сайта на другой (доступ к БД),,9,Веб-программирование
Начертить чертежи и подправить существующие...,$50,3,"Машиностроение, Чертежи и Схемы"
Программист OcStore 2.3. Opencart – доработка интернет магазина,,9,Веб-программирование
Telegram накрутка каналов ботами. программу или скрипт,$20,нет,
Контент-менеджмент/копирайтинг,,3,Копирайтинг
Найти информацию по ресторанам в GoogleMaps и TripAdvisor. Нужен англи,,7,Наполнение сайтов
Доработка магазина,,2,Веб-программирование
Обзор товаров для сада,,1,Копирайтинг
Модифицировать RainLoop или After Logic,,нет,
"Доработать большой проект (Bootstrap, Node.js + Vue.js) front+back",$700,1,Веб-программирование
Натянуть верстку на WHMCS,$100,нет,
"Логотип, Визитки, Наклейки ( Продажа строительной техники )",,22,Фирменный стиль
Сделать презентацию на разрботку игры,,3,Презентации
Необходимо нарисовать три страницы сайта,,17,Дизайн сайтов
Обработка документов в ФШ,,15,Обработка фотографий
Генератор предложений на английском языке,,4,Веб-программирование
"Редиректы, canonical, мета-теги для сайта на Magento",,2,Веб-программирование
Доработать сайт на опенкарте (ТЗ в описании),$120,4,Веб-программирование
Технический аудит,,11,Поисковые системы (SEO)
Добавить статьи на сайт (необходимо знание англ. языка),,4,Наполнение сайтов
"Ищем автора для статей по тематике ""сад и огород""",,23,Копирайтинг
Довести до ума дипломную работу. Срочно!,,4,"Рефераты, Курсовые и Дипломы"
Заполнение каталога товарами,$30,18,Наполнение сайтов
Необходим видеооператор для удаленной работы (предметная съемка),$100,2,Анимация
"Исправить готовую верстку, работа для Бога-Верстки под NodeJS проект",,2,HTML-верстка
Настройка выгрузки Яндекс недвижимости в битрикс,,3,Веб-программирование
Запустить и протестировать 2 алгоритма из библиотеки Apache Mahout,$80,нет,
ВЭБ дизайн сайта,,35,Дизайн сайтов
Заливочный файл для интернет магазинов,,3,Обработка фотографий
Обзорные статьи для сайтов,,59,Копирайтинг
Исправить проблемы сайта,,21,Веб-программирование
Вопрос к знатокам Битрикс (нужна консультация),,19,Системы управления (CMS)
5 seo-статей с интересным содержанием,,71,Продающие тексты
Статьи,,57,Копирайтинг
Видео про огород.,$16,2,Рерайтинг
Телефонные звонки клиентам,$700,74,Служба поддержки
Настроить таргетинговую рекламу,,9,Контекстная реклама
Работа в векторе,,8,Иллюстрации и Рисунки
"Ищу партнера сммщика, смм менеджера",,нет,
Правки WORDPRESS,,11,Веб-программирование
Нужно написать скрипт ответа на сообщение,,5,Веб-программирование
YouTube- комментарии по теме + удержание просмотров,,1,Социальные сети (SMM и SMO)
Редактирование видео для Facebook рекламы,,12,Видеомонтаж
Скопировать лендинг и поставить на Wordpress - минимал цена,,16,HTML-верстка
"Грамотный верстальщик, сверстать сайт под требования",,15,Веб-программирование
Доработка функционала на React+Node.js,,5,Веб-программирование
"Дизай интернет магазина, с акцентом на мобильную версию.",,30,Дизайн мобильных приложений
Написать продающий текст,$100,15,Копирайтинг
Правки на сайте,,5,Веб-программирование
Нужен программист WooCommerce,,8,Системы управления (CMS)
Доработки сайта на Битриксе. Интернет-магазин.,,8,Интернет-магазины
Оформление текстового гайда,,4,Дизайн сайтов
Создать сайт о криптовалюте RbCoin,,6,Сайты «под ключ»
Создание логотипа для интернет-агрегатора,,18,Логотипы и Знаки
Правки сайта по ТЗ,,2,Веб-программирование
"Arduino project, мини ферма",,1,Прикладное ПО
Парсинг - веб-саита авиакомпании или мобильное приложение,,3,Мобильные приложения
Доработка OcStore 2.3,,3,Веб-программирование
Наполнение интернет-магазина по продаже готовых сайтов,,5,Продающие тексты
Интеграция OpenSource CMS в SPA Vue.js готовый front-end,,нет,
"Прогнать сайт по каталогам, доскам обьявлений, форумам",,4,Поисковые системы (SEO)
Необходимо ускорить работу сайта,,9,Веб-программирование
Создать лэндинг на Тильде,,8,Сайты «под ключ»
Технический СЕО аудит,,2,Веб-программирование
Поправить скрипт PHP,,6,Веб-программирование
Доработки сайта на Django,,4,Веб-программирование
Написание SEO оптимизированных статей для сайта грузоперевозок,,15,Копирайтинг
Установить купленную тему на вордпресс,,5,Системное администрирование
Создать сайт,,25,Сайты «под ключ»
Оптимизировать мобильную версию сайта,$350,5,Веб-программирование
Подхватить проект в ionic и продолжать разработку,,нет,
Биржа рекламы в социальных сетях,$10000,1,Веб-программирование
Ищу Level Designer для создания и исправления уровней в match3-игре,,1,Разработка игр
Нужно сделать англоязычную версию сайта,,2,Веб-программирование
Интересует разработка сайта,,18,Сайты «под ключ»
Создать похожую работу,,38,Дизайн сайтов
Доработка темы (bootstrap),,1,Веб-программирование
Редактирование и корректировка текста,,9,Редактирование и Корректура
Поиск  DDNS сервисов,,2,Маркетинговый анализ
Придумать название и логотип для интернет магазина,,11,Нейминг и Слоганы
Нужен копирайтер под проект. Сайт о потолках,,5,Копирайтинг
Нужен автор,$100,7,Копирайтинг
Англ. тексты,$150,26,Копирайтинг
Доработать приложение на Андроид,$70,1,Мобильные приложения
Требуется нарисовать обложки для постов в Инстаграм,,5,Социальные сети (SMM и SMO)
Интеграция убера в приложение на php(framework - symfony4),,1,Веб-программирование
Разработка Мобильного Приложения!,,5,Мобильные приложения
50 описаний для Android игр и приложений,,35,Рерайтинг
Предложить дизайн коробок для косметических мини зеркал,,11,Дизайн продукции
